,0,14,2
20,20_UA,0,2
228,228_AAPL,2,0
93,93_AMZN,2,0
6,6_JPM,1,0
109,109_F,0,1
157,157_JPM,0,2
199,199_AMZN,0,2
242,242_KO,1,0
40,40_AMZN,1,0
131,131_CMG,1,0
95,95_AAPL,1,0
6,6_AAPL,2,0
24,24_UA,0,2
26,26_AMZN,1,0
259,259_JWN,0,1
141,141_UA,1,0
219,219_AMZN,2,0
141,141_KO,2,0
295,295_JPM,0,2
210,210_F,1,0
272,272_KO,1,0
165,165_CMG,1,0
301,301_F,0,2
202,202_KO,0,1
1,1_JWN,0,2
237,237_AAPL,1,0
98,98_F,1,0
75,75_FB,1,0
28,28_FB,2,0
194,194_JPM,1,0
254,254_JPM,1,0
164,164_CMG,2,0
113,113_AMZN,0,2
172,172_F,1,0
142,142_JWN,0,1
107,107_AMZN,0,2
107,107_JWN,0,2
184,184_JWN,0,1
248,248_AMZN,0,1
135,135_F,2,0
137,137_AAPL,1,0
285,285_AMZN,0,2
214,214_AMZN,1,0
63,63_CMG,1,0
123,123_AAPL,0,1
160,160_AAPL,2,0
273,273_F,2,0
179,179_JPM,0,2
172,172_JPM,0,1
45,45_JPM,0,2
126,126_KO,1,0
